repeat,subject,model,phase,MAE
2,NV044,pv_cnn,Terminal Stance,4.975828922457165
2,NV044,pv_cnn,Pre- Swing,5.540540645519893
2,NV044,pv_cnn,Initial Swing,5.162238847878244
2,NV044,pv_cnn,Mid Swing,5.42081412838565
2,NV044,pv_cnn,Terminal Swing,5.019507240917948
3,NV036,timestamp_lstm,Loading Response,3.9626477377282248
3,NV036,timestamp_lstm,Mid Stance,3.152191784646776
3,NV036,timestamp_lstm,Terminal Stance,3.4611504640844135
3,NV036,timestamp_lstm,Pre- Swing,4.772837085856332
3,NV036,timestamp_lstm,Initial Swing,4.687776847018136
3,NV036,timestamp_lstm,Mid Swing,3.9573279519875846
3,NV036,timestamp_lstm,Terminal Swing,3.0980487763881683
3,NV041,timestamp_lstm,Loading Response,3.822803729110294
3,NV041,timestamp_lstm,Mid Stance,3.4545621789164014
3,NV041,timestamp_lstm,Terminal Stance,3.1798301140467324
3,NV041,timestamp_lstm,Pre- Swing,4.748327612876892
3,NV041,timestamp_lstm,Initial Swing,4.224309179517958
3,NV041,timestamp_lstm,Mid Swing,3.40505760245853
3,NV041,timestamp_lstm,Terminal Swing,3.6967935959498086
3,NV036,pv_lstm,Loading Response,3.5619099603758917
3,NV036,pv_lstm,Mid Stance,2.6861397325992584
3,NV036,pv_lstm,Terminal Stance,2.8295056091414557
3,NV036,pv_lstm,Pre- Swing,3.5586048695776196
3,NV036,pv_lstm,Initial Swing,4.512787630160649
3,NV036,pv_lstm,Mid Swing,3.887666129403644
3,NV036,pv_lstm,Terminal Swing,3.141909804609087
3,NV041,pv_lstm,Loading Response,3.64990281396442
3,NV041,pv_lstm,Mid Stance,3.0061378710799747
3,NV041,pv_lstm,Terminal Stance,3.2346349557240806
3,NV041,pv_lstm,Pre- Swing,4.823004023896323
3,NV041,pv_lstm,Initial Swing,4.065609690215853
3,NV041,pv_lstm,Mid Swing,3.1627467970053353
3,NV041,pv_lstm,Terminal Swing,3.5797305835617914
3,NV036,timestamp_cnn,Loading Response,3.498048788971371
3,NV036,timestamp_cnn,Mid Stance,4.060753918356365
3,NV036,timestamp_cnn,Terminal Stance,3.7314533955521054
3,NV036,timestamp_cnn,Pre- Swing,5.197719593842824
3,NV036,timestamp_cnn,Initial Swing,5.054760932922363
3,NV036,timestamp_cnn,Mid Swing,5.062757074832916
3,NV036,timestamp_cnn,Terminal Swing,3.666394876109229
3,NV041,timestamp_cnn,Loading Response,3.7399954398473105
3,NV041,timestamp_cnn,Mid Stance,3.8751003278626337
3,NV041,timestamp_cnn,Terminal Stance,4.526606751812829
3,NV041,timestamp_cnn,Pre- Swing,5.314833243687947
3,NV041,timestamp_cnn,Initial Swing,4.86358286274804
3,NV041,timestamp_cnn,Mid Swing,4.770826889408959
3,NV041,timestamp_cnn,Terminal Swing,3.6253997716638775
3,NV036,pv_cnn,Loading Response,3.2890673081080117
3,NV036,pv_cnn,Mid Stance,3.6466535528500876
3,NV036,pv_cnn,Terminal Stance,3.692829499642054
3,NV036,pv_cnn,Pre- Swing,5.581804937786526
3,NV036,pv_cnn,Initial Swing,5.138896240128411
3,NV036,pv_cnn,Mid Swing,4.3029471437136335
3,NV036,pv_cnn,Terminal Swing,3.0894080135557385
3,NV041,pv_cnn,Loading Response,3.707583851284451
3,NV041,pv_cnn,Mid Stance,3.5781258079740734
3,NV041,pv_cnn,Terminal Stance,4.235628558529748
3,NV041,pv_cnn,Pre- Swing,5.0502328806453285
3,NV041,pv_cnn,Initial Swing,4.624317079782486
3,NV041,pv_cnn,Mid Swing,4.000018550290002
3,NV041,pv_cnn,Terminal Swing,3.75081166293886
4,NV033,timestamp_lstm,Loading Response,2.5170822872055902
4,NV033,timestamp_lstm,Mid Stance,2.1517225984070034
4,NV033,timestamp_lstm,Terminal Stance,2.0944074276420803
4,NV033,timestamp_lstm,Pre- Swing,3.7336292366186776
4,NV033,timestamp_lstm,Initial Swing,4.135786430703269
4,NV033,timestamp_lstm,Mid Swing,3.688557936085595
4,NV033,timestamp_lstm,Terminal Swing,3.2171063092019825
4,NV042,timestamp_lstm,Loading Response,3.4469181762801275
4,NV042,timestamp_lstm,Mid Stance,2.438732388946745
4,NV042,timestamp_lstm,Terminal Stance,2.444107022550371
4,NV042,timestamp_lstm,Pre- Swing,2.928816109895706
4,NV042,timestamp_lstm,Initial Swing,3.3692224787341223
4,NV042,timestamp_lstm,Mid Swing,2.33819509545962
