repeat,subject,model,channel,MAE,RMSE,R2
2,NV044,pv_cnn,R Hip Sag,3.78497576713562,4.531732082366943,0.849636435508728
2,NV044,pv_cnn,R Hip Fro,4.139772415161133,4.51091194152832,-0.5283483266830444
2,NV044,pv_cnn,R Hip Tra,9.664824485778809,9.908228874206543,-25.468589782714844
2,NV044,pv_cnn,R Knee Sag,6.954326152801514,8.827972412109375,0.760873556137085
2,NV044,pv_cnn,R Knee Fro,2.7586143016815186,2.9802393913269043,0.5778305530548096
2,NV044,pv_cnn,R Knee Tra,6.936741352081299,8.79629898071289,-1.4416046142578125
2,NV044,pv_cnn,R Ankle Sag,2.9826440811157227,4.011964321136475,0.6768094301223755
2,NV044,pv_cnn,R Ankle Fro,0.40783563256263733,0.4907724857330322,0.3660745620727539
2,NV044,pv_cnn,R Ankle Tra,2.808734655380249,3.322819232940674,0.10389655828475952
3,NV036,timestamp_lstm,L Hip Sag,2.697593927383423,3.508396625518799,0.9478673934936523
3,NV036,timestamp_lstm,L Hip Fro,1.383722186088562,1.5830013751983643,0.8209182620048523
3,NV036,timestamp_lstm,L Hip Tra,6.955259323120117,7.187292098999023,-1.1707313060760498
3,NV036,timestamp_lstm,L Knee Sag,3.964090347290039,5.273008823394775,0.9173820614814758
3,NV036,timestamp_lstm,L Knee Fro,2.644373655319214,2.8798859119415283,0.8601085543632507
3,NV036,timestamp_lstm,L Knee Tra,3.8678104877471924,4.9993896484375,-0.604638934135437
3,NV036,timestamp_lstm,L Ankle Sag,3.723099708557129,4.083756923675537,0.6131371259689331
3,NV036,timestamp_lstm,L Ankle Fro,1.4147322177886963,1.5216307640075684,-9.829327583312988
3,NV036,timestamp_lstm,L Ankle Tra,8.581106185913086,9.144582748413086,-9.988134384155273
3,NV036,timestamp_lstm,R Hip Sag,2.7202889919281006,3.2004144191741943,0.9540836215019226
3,NV036,timestamp_lstm,R Hip Fro,4.7327094078063965,5.096632957458496,-0.6567925214767456
3,NV036,timestamp_lstm,R Hip Tra,4.250389099121094,4.775242805480957,0.25171369314193726
