repeat,subject,model,phase,MAE
3,NV033,timestamp_cnn,Terminal Stance,3.1288682288593717
3,NV033,timestamp_cnn,Pre- Swing,4.68788907263014
3,NV033,timestamp_cnn,Initial Swing,6.781957026984957
3,NV033,timestamp_cnn,Mid Swing,6.410749869214164
3,NV033,timestamp_cnn,Terminal Swing,4.850075585974587
3,NV046,timestamp_cnn,Loading Response,2.6176540040307574
3,NV046,timestamp_cnn,Mid Stance,2.8505452457401486
3,NV046,timestamp_cnn,Terminal Stance,2.85954459839397
3,NV046,timestamp_cnn,Pre- Swing,2.894258326954312
3,NV046,timestamp_cnn,Initial Swing,2.8626027835739984
3,NV046,timestamp_cnn,Mid Swing,3.1520557643638716
3,NV046,timestamp_cnn,Terminal Swing,2.20495965745714
3,NV033,pv_cnn,Loading Response,3.665345400571823
3,NV033,pv_cnn,Mid Stance,3.5566536254352994
3,NV033,pv_cnn,Terminal Stance,3.253455320994059
3,NV033,pv_cnn,Pre- Swing,4.162031165427631
3,NV033,pv_cnn,Initial Swing,6.828054795662562
3,NV033,pv_cnn,Mid Swing,6.253045500980483
3,NV033,pv_cnn,Terminal Swing,4.40817900829845
3,NV046,pv_cnn,Loading Response,2.5098872979482016
3,NV046,pv_cnn,Mid Stance,2.790256515145302
3,NV046,pv_cnn,Terminal Stance,2.844422838754124
3,NV046,pv_cnn,Pre- Swing,2.813080935014619
3,NV046,pv_cnn,Initial Swing,3.224970799353388
3,NV046,pv_cnn,Mid Swing,2.720979077120622
3,NV046,pv_cnn,Terminal Swing,1.8923708763387468
4,NV038,timestamp_lstm,Loading Response,6.932450678613451
4,NV038,timestamp_lstm,Mid Stance,6.25820251305898
4,NV038,timestamp_lstm,Terminal Stance,7.207830905914307
4,NV038,timestamp_lstm,Pre- Swing,7.7553373376528425
4,NV038,timestamp_lstm,Initial Swing,9.447662913137012
4,NV038,timestamp_lstm,Mid Swing,9.419215887784958
4,NV038,timestamp_lstm,Terminal Swing,8.614231314924028
4,NV042,timestamp_lstm,Loading Response,4.355684697628021
4,NV042,timestamp_lstm,Mid Stance,3.2905087802145214
4,NV042,timestamp_lstm,Terminal Stance,3.5923510127597384
4,NV042,timestamp_lstm,Pre- Swing,5.700859824816386
4,NV042,timestamp_lstm,Initial Swing,4.736274768908818
4,NV042,timestamp_lstm,Mid Swing,3.239104777574539
4,NV042,timestamp_lstm,Terminal Swing,4.463100148571862
4,NV038,pv_lstm,Loading Response,5.841441144545873
4,NV038,pv_lstm,Mid Stance,5.0599282748169365
4,NV038,pv_lstm,Terminal Stance,5.985691391759449
4,NV038,pv_lstm,Pre- Swing,7.28444911705123
4,NV038,pv_lstm,Initial Swing,8.040176805522707
4,NV038,pv_lstm,Mid Swing,7.997594979074266
4,NV038,pv_lstm,Terminal Swing,7.060240775346756
4,NV042,pv_lstm,Loading Response,4.205069677697288
4,NV042,pv_lstm,Mid Stance,3.2461666266123452
4,NV042,pv_lstm,Terminal Stance,3.104342950714959
4,NV042,pv_lstm,Pre- Swing,4.537746591700448
4,NV042,pv_lstm,Initial Swing,5.102680388424131
4,NV042,pv_lstm,Mid Swing,3.964819096856647
4,NV042,pv_lstm,Terminal Swing,4.12817543413904
4,NV038,timestamp_cnn,Loading Response,5.987079984611935
4,NV038,timestamp_cnn,Mid Stance,4.610214398966895
4,NV038,timestamp_cnn,Terminal Stance,4.477357361051771
4,NV038,timestamp_cnn,Pre- Swing,6.041553490691715
4,NV038,timestamp_cnn,Initial Swing,9.680626968542734
4,NV038,timestamp_cnn,Mid Swing,9.35332825448778
4,NV038,timestamp_cnn,Terminal Swing,7.106411125924852
4,NV042,timestamp_cnn,Loading Response,3.859917494985792
4,NV042,timestamp_cnn,Mid Stance,3.107716762357288
4,NV042,timestamp_cnn,Terminal Stance,3.063428113857905
4,NV042,timestamp_cnn,Pre- Swing,4.245603054761887
4,NV042,timestamp_cnn,Initial Swing,5.006895310348934
4,NV042,timestamp_cnn,Mid Swing,3.628617309861713
4,NV042,timestamp_cnn,Terminal Swing,4.525823334852855
4,NV038,pv_cnn,Loading Response,6.6132749484644995
4,NV038,pv_cnn,Mid Stance,5.198519506388241
4,NV038,pv_cnn,Terminal Stance,5.736992668774393
4,NV038,pv_cnn,Pre- Swing,6.71360930469301
4,NV038,pv_cnn,Initial Swing,9.125378224584791
4,NV038,pv_cnn,Mid Swing,8.704286661412981
4,NV038,pv_cnn,Terminal Swing,7.0915594763225975
4,NV042,pv_cnn,Loading Response,3.987674285968145
4,NV042,pv_cnn,Mid Stance,2.980657352341546
