repeat,subject,model,channel,MAE,RMSE,R2
3,NV031,timestamp_lstm,L Hip Tra,5.195453643798828,6.049117565155029,-0.25259697437286377
3,NV031,timestamp_lstm,L Knee Sag,11.361351013183594,17.586240768432617,0.2737904191017151
3,NV031,timestamp_lstm,L Knee Fro,3.2064568996429443,3.7205958366394043,0.08138930797576904
3,NV031,timestamp_lstm,L Knee Tra,14.391510963439941,15.506490707397461,-13.002753257751465
3,NV031,timestamp_lstm,L Ankle Sag,6.401758670806885,10.063382148742676,0.2972415089607239
3,NV031,timestamp_lstm,L Ankle Fro,4.081657886505127,4.461912155151367,-8.594254493713379
3,NV031,timestamp_lstm,L Ankle Tra,20.889989852905273,22.360994338989258,-10.764055252075195
3,NV031,timestamp_lstm,R Hip Sag,4.294765949249268,5.207352638244629,0.9077739715576172
3,NV031,timestamp_lstm,R Hip Fro,3.471921682357788,4.415991306304932,0.6004106998443604
3,NV031,timestamp_lstm,R Hip Tra,15.898362159729004,17.069013595581055,-9.391573905944824
3,NV031,timestamp_lstm,R Knee Sag,10.829885482788086,12.430810928344727,0.6039614081382751
3,NV031,timestamp_lstm,R Knee Fro,10.040472030639648,14.193299293518066,-6.289379596710205
3,NV031,timestamp_lstm,R Knee Tra,7.2653021812438965,8.46657943725586,-1.5202476978302002
3,NV031,timestamp_lstm,R Ankle Sag,7.102086544036865,9.312410354614258,0.23025453090667725
3,NV031,timestamp_lstm,R Ankle Fro,1.4191163778305054,1.7027432918548584,-2.3387234210968018
3,NV031,timestamp_lstm,R Ankle Tra,8.688855171203613,11.296388626098633,-1.673325777053833
3,NV046,timestamp_lstm,L Hip Sag,4.086925983428955,4.911010265350342,0.8874267339706421
3,NV046,timestamp_lstm,L Hip Fro,2.7694790363311768,3.2315824031829834,0.20702087879180908
3,NV046,timestamp_lstm,L Hip Tra,5.092872142791748,6.443214416503906,-4.208367347717285
3,NV046,timestamp_lstm,L Knee Sag,7.581187725067139,9.105101585388184,0.8003666400909424
3,NV046,timestamp_lstm,L Knee Fro,1.54385244846344,2.041032552719116,0.3638594150543213
3,NV046,timestamp_lstm,L Knee Tra,6.840444087982178,7.891502857208252,-0.2930459976196289
3,NV046,timestamp_lstm,L Ankle Sag,3.4341681003570557,4.3680853843688965,0.7229077816009521
3,NV046,timestamp_lstm,L Ankle Fro,0.699077844619751,0.8228569626808167,-0.33800172805786133
3,NV046,timestamp_lstm,L Ankle Tra,3.451993227005005,4.080870628356934,-0.1053701639175415
3,NV046,timestamp_lstm,R Hip Sag,4.051608085632324,4.986818313598633,0.8658915162086487
3,NV046,timestamp_lstm,R Hip Fro,2.7065045833587646,3.0776185989379883,0.21396249532699585
3,NV046,timestamp_lstm,R Hip Tra,2.810727119445801,3.377584934234619,-0.7807948589324951
3,NV046,timestamp_lstm,R Knee Sag,5.528049468994141,6.7512383460998535,0.8505519032478333
3,NV046,timestamp_lstm,R Knee Fro,2.0010178089141846,2.384269952774048,0.4521793723106384
3,NV046,timestamp_lstm,R Knee Tra,4.796202182769775,5.6674418449401855,-0.6713955402374268
3,NV046,timestamp_lstm,R Ankle Sag,4.167840003967285,4.925415515899658,0.5681254267692566
3,NV046,timestamp_lstm,R Ankle Fro,0.6155867576599121,0.7412781119346619,-2.7810616493225098
3,NV046,timestamp_lstm,R Ankle Tra,2.454789638519287,3.01401686668396,0.19254720211029053
3,NV031,pv_lstm,L Hip Sag,8.457906723022461,10.011913299560547,0.7174900770187378
3,NV031,pv_lstm,L Hip Fro,4.466988563537598,5.422886848449707,0.4871806502342224
3,NV031,pv_lstm,L Hip Tra,8.383971214294434,10.013837814331055,-2.4326412677764893
3,NV031,pv_lstm,L Knee Sag,12.606993675231934,17.463178634643555,0.2839183807373047
3,NV031,pv_lstm,L Knee Fro,2.336716413497925,2.909708023071289,0.4381694793701172
